,Organization_Name,Product_Code,Name_Product,Part_Number,Approval_Code,Approval_Date,ORG_NABREV_FAB_PROD
0,AEROMOT AERONAVES E MOTORES S/A,4939,Pastilha de Freio,AM-110121-32-13000,2024P12-01A,2025-08-27,AEROMOT
1,EMBRAER DIVISÃO EQUIPAMENTOS - EDE,579,Amortecedor,2119-0001-001,2000P06-05,2000-07-06,EMBRAER EDE
2,EMBRAER DIVISÃO EQUIPAMENTOS - EDE,581,Atuador de Porta,2106-2001-001,2000P06-02,2000-07-06,EMBRAER EDE
3,EMBRAER DIVISÃO EQUIPAMENTOS - EDE,583,Atuador Hidráulico,2106-0500-001,2000P06-01,2000-07-06,EMBRAER EDE
4,EMBRAER DIVISÃO EQUIPAMENTOS - EDE,584,Atuador Hidráulico,2108-0050-003,2000P06-03,2000-07-06,EMBRAER EDE
5,EMBRAER DIVISÃO EQUIPAMENTOS - EDE,585,Atuador Hidráulico,2114-0001-001,2000P06-12,2000-07-06,EMBRAER EDE
6,EMBRAER DIVISÃO EQUIPAMENTOS - EDE,586,Atuador Hidráulico,2118-0100-401,2000P06-04,2000-07-06,EMBRAER EDE
7,EMBRAER DIVISÃO EQUIPAMENTOS - EDE,588,Atuador Hidráulico,2309-3700-503,2006P11-03,2006-11-13,EMBRAER EDE
8,EMBRAER DIVISÃO EQUIPAMENTOS - EDE,595,Relé de Proteção,2903-0002-001,2000P06-11,2000-07-06,EMBRAER EDE
9,EMBRAER DIVISÃO EQUIPAMENTOS - EDE,599,Válvula de Alívio,2228-0001-005,2000P06-08,2000-07-06,EMBRAER EDE
10,EMBRAER DIVISÃO EQUIPAMENTOS - EDE,600,Válvula de Corte,2226-0001-007,2000P06-06,2000-07-06,EMBRAER EDE
11,EMBRAER DIVISÃO EQUIPAMENTOS - EDE,601,Válvula de Sangria,2238-0001-001,2000P06-10,2000-07-06,EMBRAER EDE
12,EMBRAER DIVISÃO EQUIPAMENTOS - EDE,602,Válvula Unidirecional ,2241-0001-001,2006P11-05,2006-11-13,EMBRAER EDE
13,EMBRAER DIVISÃO EQUIPAMENTOS - EDE,603,Válvula Unidirecional,2241-0020-001,2006P11-06,2006-11-13,EMBRAER EDE
14,EMBRAER DIVISÃO EQUIPAMENTOS - EDE,606,Válvula Restritora,2237-0100-001,2000P06-09,2000-07-06,EMBRAER EDE
15,EMBRAER DIVISÃO EQUIPAMENTOS - EDE,609,Válvula Solenoide,2225-0001-001,2000P06-13,2000-07-06,EMBRAER EDE
16,EMBRAER DIVISÃO EQUIPAMENTOS - EDE,610,Válvula Solenoide,2227-0001-003,2000P06-14,2000-07-06,EMBRAER EDE
17,EMBRAER DIVISÃO EQUIPAMENTOS - EDE,611,Válvula Solenoide,2227-0100-001,2000P06-07,2000-07-06,EMBRAER EDE
18,EMBRAER DIVISÃO EQUIPAMENTOS - EDE,2790,Acumulador,2704-0001-003,2006P11-01,2006-11-13,EMBRAER EDE
19,EMBRAER DIVISÃO EQUIPAMENTOS - EDE,2792,Válvula de Alívio ,2214-0100-401,2006P11-04,2006-11-13,EMBRAER EDE
20,EMBRAER DIVISÃO EQUIPAMENTOS - EDE,2793,Atuador Hidráulico,2309-2700-505,2006P11-02,2006-11-13,EMBRAER EDE
21,EMBRAER DIVISÃO EQUIPAMENTOS - EDE,3425,"Válvula Solenóide 4 vias, 2 pos",2225-0100-003,2007P09-02,2007-09-18,EMBRAER EDE
22,EMBRAER DIVISÃO EQUIPAMENTOS - EDE,3426,Haste Travamento Principal - Conjunto,2309-2500-505,2007P09-01,2007-09-18,EMBRAER EDE
23,EMBRAER DIVISÃO EQUIPAMENTOS - EDE,3486,Perna de Força - Conjunto,2309-2002-521 e 522,2007P09-03,2007-09-18,EMBRAER EDE
24,RITTER CONSULTORIA E PROJETOS LTDA.,4336,Conjunto Flex Aeromédico,RTR-FLEX-XX-YY-ZZ ,2011P10-01A,2012-06-28,RITTER
25,RITTER CONSULTORIA E PROJETOS LTDA.,4549,Kit Universal de Imageamento para Helicópteros ,AM AS350-00,2013P12-01,2013-12-12,RITTER
26,RITTER CONSULTORIA E PROJETOS LTDA.,4565,Conjunto Maca/Suporte/Sistemas tipo Transporte Inter-Hospitalar,HELI-FLEX-XX-YY,2013P06-01,2013-06-25,RITTER
27,RITTER CONSULTORIA E PROJETOS LTDA.,4569,Conjunto Maca/Suporte/Sistema tipo transporte hospitalar,MEDEVAC-G3-03-02,2014P05-01,2014-05-09,RITTER
28,AGS AEROHOSES INDÚSTRIA AERONÁUTICA COMÉRCIO E REPRESENTAÇÕES LTDA.,633,Mangueira - TSO C75,-,2006P02-02,2006-02-06,AGS
29,AGS AEROHOSES INDÚSTRIA AERONÁUTICA COMÉRCIO E REPRESENTAÇÕES LTDA.,642,Mangueira - TSO C75,-,2006P02-19,2006-02-06,AGS
30,AGS AEROHOSES INDÚSTRIA AERONÁUTICA COMÉRCIO E REPRESENTAÇÕES LTDA.,643,Mangueira - TSO C75,-,2006P02-20,2006-02-06,AGS
31,AGS AEROHOSES INDÚSTRIA AERONÁUTICA COMÉRCIO E REPRESENTAÇÕES LTDA.,644,Mangueira - TSO C75,-,2006P02-21,2006-02-06,AGS
32,AGS AEROHOSES INDÚSTRIA AERONÁUTICA COMÉRCIO E REPRESENTAÇÕES LTDA.,645,Mangueira - TSO C75,-,2006P02-18,2006-02-06,AGS
33,AGS AEROHOSES INDÚSTRIA AERONÁUTICA COMÉRCIO E REPRESENTAÇÕES LTDA.,646,Mangueira - TSO C75,-,2006P02-22,2006-02-06,AGS
34,AGS AEROHOSES INDÚSTRIA AERONÁUTICA COMÉRCIO E REPRESENTAÇÕES LTDA.,2821,Mangueira - TSO C75,-,2006P02-06,2006-02-06,AGS
35,AGS AEROHOSES INDÚSTRIA AERONÁUTICA COMÉRCIO E REPRESENTAÇÕES LTDA.,2822,Mangueira - TSO C75,-,2006P02-08,2006-02-06,AGS
36,AGS AEROHOSES INDÚSTRIA AERONÁUTICA COMÉRCIO E REPRESENTAÇÕES LTDA.,2823,Mangueira - TSO C75,-,2006P02-10,2006-02-06,AGS
37,AGS AEROHOSES INDÚSTRIA AERONÁUTICA COMÉRCIO E REPRESENTAÇÕES LTDA.,2824,Mangueira - TSO C75,-,2006P02-23,2006-02-06,AGS
38,AGS AEROHOSES INDÚSTRIA AERONÁUTICA COMÉRCIO E REPRESENTAÇÕES LTDA.,2826,Mangueira - TSO C75,-,2006P02-12,2006-02-06,AGS
39,AGS AEROHOSES INDÚSTRIA AERONÁUTICA COMÉRCIO E REPRESENTAÇÕES LTDA.,2827,Mangueira - TSO C75,-,2006P02-14,2006-02-06,AGS
40,AGS AEROHOSES INDÚSTRIA AERONÁUTICA COMÉRCIO E REPRESENTAÇÕES LTDA.,2828,Mangueira - TSO C75,-,2006P02-16,2006-02-06,AGS
41,AGS AEROHOSES INDÚSTRIA AERONÁUTICA COMÉRCIO E REPRESENTAÇÕES LTDA.,2829,Mangueira - TSO C53a,-,2006P02-01,2006-02-06,AGS
42,AGS AEROHOSES INDÚSTRIA AERONÁUTICA COMÉRCIO E REPRESENTAÇÕES LTDA.,2830,Mangueira - TSO C75,-,2006P02-04,2006-02-06,AGS
43,AGS AEROHOSES INDÚSTRIA AERONÁUTICA COMÉRCIO E REPRESENTAÇÕES LTDA.,2831,Mangueira - TSO C53a,-,2006P02-03,2006-02-06,AGS
44,AGS AEROHOSES INDÚSTRIA AERONÁUTICA COMÉRCIO E REPRESENTAÇÕES LTDA.,2832,Mangueira - TSO C53a,-,2006P02-05,2006-02-06,AGS
45,AGS AEROHOSES INDÚSTRIA AERONÁUTICA COMÉRCIO E REPRESENTAÇÕES LTDA.,2833,Mangueira - TSO C53a,-,2006P02-07,2006-02-06,AGS
46,AGS AEROHOSES INDÚSTRIA AERONÁUTICA COMÉRCIO E REPRESENTAÇÕES LTDA.,2834,Mangueira - TSO C53a,-,2006P02-09,2006-02-06,AGS
47,AGS AEROHOSES INDÚSTRIA AERONÁUTICA COMÉRCIO E REPRESENTAÇÕES LTDA.,2835,Mangueira - TSO C53a,-,2006P02-11,2006-02-06,AGS
48,AGS AEROHOSES INDÚSTRIA AERONÁUTICA COMÉRCIO E REPRESENTAÇÕES LTDA.,2836,Mangueira - TSO C53a,-,2006P02-13,2006-02-06,AGS
49,AGS AEROHOSES INDÚSTRIA AERONÁUTICA COMÉRCIO E REPRESENTAÇÕES LTDA.,2837,Mangueira - TSO C53a,-,2006P02-15,2006-02-06,AGS
50,AGS AEROHOSES INDÚSTRIA AERONÁUTICA COMÉRCIO E REPRESENTAÇÕES LTDA.,2838,Mangueira - TSO C75,-,2006P02-17,2006-02-06,AGS
51,VERTICAL DO PONTO INDUSTRIA E COMÉRCIO DE PARAQUEDAS LTDA&#8203.,4951,Conjunto de paraquedas reserva de harness duplo,VP-300-1 VP-300-2 & VP-300-4,2024P12-01A,2025-08-07,VERTICAL DO PONTO
52,GOODYEAR DO BRASIL PRODUTOS DE BORRACHA LTDA.,21,Aircraft Tire 15x6.0-6 6PR,156E66-4,,,GOODYEAR BRASIL
53,GOODYEAR DO BRASIL PRODUTOS DE BORRACHA LTDA.,22,Aircraft Tire 15x6.0-6 6PR,156E66B1,,,GOODYEAR BRASIL
54,GOODYEAR DO BRASIL PRODUTOS DE BORRACHA LTDA.,23,Aircraft Tire 17.5x6.25-6 10 PR,175K08B1,,,GOODYEAR BRASIL
55,GOODYEAR DO BRASIL PRODUTOS DE BORRACHA LTDA.,24,Aircraft Tire 17.5x6.25-6 8 PR,175K88B1,,,GOODYEAR BRASIL
56,GOODYEAR DO BRASIL PRODUTOS DE BORRACHA LTDA.,28,Aircraft Tire 25.75x6.75-14 14 PR,256K43-3,,,GOODYEAR BRASIL
57,GOODYEAR DO BRASIL PRODUTOS DE BORRACHA LTDA.,30,Aircraft Tire 31x9.75-14 12 PR,318K28-1,,,GOODYEAR BRASIL
58,GOODYEAR DO BRASIL PRODUTOS DE BORRACHA LTDA.,31,Aircraft Tire 32x8.8,328F43G1,,,GOODYEAR BRASIL
59,GOODYEAR DO BRASIL PRODUTOS DE BORRACHA LTDA.,32,Aircraft Tire 6.00-6 4PR,606C41B1,,,GOODYEAR BRASIL
60,GOODYEAR DO BRASIL PRODUTOS DE BORRACHA LTDA.,33,Aircraft Tire 6.00-6 4PR TT,606C46-6,,,GOODYEAR BRASIL
61,GOODYEAR DO BRASIL PRODUTOS DE BORRACHA LTDA.,34,Aircraft Tire 6.00-6 6PR,606C61B1,,,GOODYEAR BRASIL
62,GOODYEAR DO BRASIL PRODUTOS DE BORRACHA LTDA.,35,Aircraft Tire 6.00-6 6PR TT,606C66-8,,,GOODYEAR BRASIL
63,GOODYEAR DO BRASIL PRODUTOS DE BORRACHA LTDA.,36,Aircraft Tire 6.00-6 8PR Tl,606T86-3,,,GOODYEAR BRASIL
64,GOODYEAR DO BRASIL PRODUTOS DE BORRACHA LTDA.,37,Aircraft Tire 6.00-6 8PR TT,606C86-6,,,GOODYEAR BRASIL
65,GOODYEAR DO BRASIL PRODUTOS DE BORRACHA LTDA.,38,Aircraft Tire 6.00x6 8 PR,606C81B1,,,GOODYEAR BRASIL
66,GOODYEAR DO BRASIL PRODUTOS DE BORRACHA LTDA.,39,Aircraft Tire 7.00-6 6 PR,706C61B1,,,GOODYEAR BRASIL
67,GOODYEAR DO BRASIL PRODUTOS DE BORRACHA LTDA.,40,Aircraft Tire 7.00-6 6PR TT,706C66-3,,,GOODYEAR BRASIL
68,GOODYEAR DO BRASIL PRODUTOS DE BORRACHA LTDA.,41,Aircraft Tire 7.00-6 8PR TT,706C86-3,,,GOODYEAR BRASIL
69,GOODYEAR DO BRASIL PRODUTOS DE BORRACHA LTDA.,42,Aircraft Tire 8.00-6 6 PR,806C61B1,,,GOODYEAR BRASIL
70,GOODYEAR DO BRASIL PRODUTOS DE BORRACHA LTDA.,43,Aircraft Tire 8.00-6 8 PR,806C81B1,,,GOODYEAR BRASIL
71,GOODYEAR DO BRASIL PRODUTOS DE BORRACHA LTDA.,44,Aircraft Tire 8.90-12.50 6 PR,892C66B1,,,GOODYEAR BRASIL
72,GOODYEAR DO BRASIL PRODUTOS DE BORRACHA LTDA.,45,Aircraft Tire H.29x9.0-15 16PR,299K63-1,,,GOODYEAR BRASIL
73,GOODYEAR DO BRASIL PRODUTOS DE BORRACHA LTDA.,2796,Pneu com Câmara Tamanho 5.00-5 10PR 120MPH,505C01-2,,,GOODYEAR BRASIL
74,GOODYEAR DO BRASIL PRODUTOS DE BORRACHA LTDA.,2797,Pneu com Câmara Tamanho 5.00-5 6PR 120MPH,505C61-8,,,GOODYEAR BRASIL
75,GOODYEAR DO BRASIL PRODUTOS DE BORRACHA LTDA.,2798,Pneu com Câmara Tamanho 5.00-5 4PR 120MPH,505C41-4,,,GOODYEAR BRASIL
76,GOODYEAR DO BRASIL PRODUTOS DE BORRACHA LTDA.,3248,Pneu Convencional sem Câmara,362K82-1,,,GOODYEAR BRASIL
77,GOODYEAR DO BRASIL PRODUTOS DE BORRACHA LTDA.,3303,Pneu sem Camara 15 x 6.0-6 10 PR,156E06B1,,,GOODYEAR BRASIL
78,ACK TECHNOLOGIES INC.,4489,E-04 ELT - Emergency Locator Transmitter - 406/121.5 MHz ELT Type AF,E-04,,,ACK
79,ACK TECHNOLOGIES INC.,4490,E-04 ELT - Emergency Locator Transmitter - Lithium Battery Pack,E-04.0,,,ACK
80,ACK TECHNOLOGIES INC.,4491,E-04 ELT - Emergency Locator Transmitter - Whip Antenna,E-04.8,,,ACK
81,ACR ELETRONICS INC.,4743,Emergency Locator Transmitter (ELT) ELT 345 ,A3-06-2880 ,,,ACR
82,AÉRAZUR,1411,Life Preserver,21620( )-( ),,,AÉRAZUR
83,AERO SEATING TECHNOLOGIES,4531,SINGLE LH SIDE FACING DIVAN,70711-11-(XXX)-(YY) ,,,AERO SEATING
